index,full_text,clean_text,tweet_url,image_url,user_id_str,conversation_id_str,created_at,MM/DD/YYYY,age_account,username,official_account,verified_account,quote_count,reply_count,retweet_count,favorite_count,followers_count,image_corelation,Label,image_path
5061,Selamat pagi Sahabat Kompas. Bursa di sejumlah negara terkoreksi habis-habisan termasuk di Indonesia. Desakan penurunan suku bunga acuan bank sentral menguat di tengah penurunan indeks bursa sejumlah negara. Baca selengkapnya di sini https://t.co/TKczLpKa1K #AdadiKompas https://t.co/iNAUz3RdGe,selamat pagi sahabat kompas bursa negara koreksi habishabisan indonesia desa turun suku bunga acu bank sentral kuat turun indeks bursa negara baca lengkap,https://x.com/undefined/status/1820617891718570271,https://pbs.twimg.com/media/GUQh0C1aoAAqQ_l.jpg,255866913,1820617891718570271,2024-07-15 09:17:55,2011-02-01,2100,hariankompas,1,1,3,1,6,13,1000000,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\5061.jpg
1095,Bismillah semoga kali ini giliran aku yang menang Flash Sale Toyota Calya seharga SERIBU RUPIAH (Rp1.000) Di Shopee Live nanti mulai jam 7 WIB doain yaa #CalyaRP1000diShopeeLive https://t.co/TMdV60Xsth https://t.co/u9gJ6vscJt,bismillah moga gilir menang flash sale toyota calya harga ribu rupiah rp1 000 shopee live jam 7 doain,https://x.com/undefined/status/1896513575558201837,https://pbs.twimg.com/media/GlHFC_paAAAU3az.jpg,1887452903016984576,1896513575558201837,2025-03-03 10:50:46,02/01/2025,96,aoki_haru94,0,0,0,0,0,0,89,0,0,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\1095.jpg
29,Cara Main Saham US &amp; Saham di $IHSG Tahun 2025 https://t.co/xZG0JGFliK,main saham us amp saham ihsg 2025,https://x.com/_fireshare/status/1910193214877003980,https://pbs.twimg.com/media/GoJemIYa4AA9bz7.jpg,145039939,1910193214877003980,2025-04-10 04:48:46,2010-05-01,2208,_fireshare,0,0,1,1,0,17,1952,1,0,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\29.jpg
4365,Pada diem-diem bae yaa..IHSG otewe 8 rebu? https://t.co/mMj3uUQcnV,diemdiem bae ihsg otewe 8 rebu,https://x.com/undefined/status/1955850813856788483,https://pbs.twimg.com/media/GyST8zna4AQA6bE.jpg,381005351,1955850813856788483,2025-08-14 04:35:46,2011-09-01,2016,frborgias,0,0,0,0,0,0,332,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\4365.jpg
5259,PANIK! IHSG anjlok menyentuh batas bawah perlukah perusahaan panik? Apa langkah yang perlu diambil? Simak Threadnya dibawah ini! https://t.co/liGjRpDziq,panik ihsg anjlok sentuh batas usaha panik langkah ambil simak threadnya bawah,https://x.com/undefined/status/1902305910774476981,https://pbs.twimg.com/media/GmZZHj4a8AUHzlg.jpg,1696055026182148096,1902305910774476981,2025-03-19 10:27:26,2023-08-01,300,HukumkuOfficial,1,0,0,1,0,0,10,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\5259.jpg
1620,IHSG pada Rabu (27/3/2024) melemah 0 75% menjadi 7.310 08 ditekan saham sektor transportasi dan logistik. Tim Analis Bareksa merekomendasikansaham pilihan untuk ide trading hari ini: $MTDL $BRIS $BTPS https://t.co/FVftvf9ih5,ihsg rabu 27 3 2024 lemah 0 75 7 310 08 tekan saham sektor transportasi logistik tim analis bareksa merekomendasikansaham pilih ide trading mtdl bris btps,https://x.com/undefined/status/1773168015275593882,https://pbs.twimg.com/media/GJuO5t-bMAA3iIp.jpg,920403926,1773168015275593882,2024-07-15 09:17:55,2012-11-01,1848,bareksa,1,1,0,1,0,0,35800,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\1620.jpg
5127,Semoga IHSG dan rupiah terus menguat https://t.co/SByizZqjrc,moga ihsg rupiah kuat,https://x.com/undefined/status/1965602455917641886,https://pbs.twimg.com/media/G0c5AgSboAAG1IA.jpg,1251824880967774208,1965602455917641886,2025-09-10 02:25:19,2020-04-01,780,Heraloebss,0,1,3,8,9,59,165300,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\5127.jpg
6416,Dolar AS Anjlok !!! Nilai tukar rupiah terhadap Dolar Amerika Serikat Sabtu (1/2/2025) menyentuh angka Rp 8.170 65. Hal ini membuat masyarakat heboh sebab sebelumnya kurs USD berada di angka Rp16.000 lebih. https://t.co/fF9JqmOUnp,dolar as anjlok nilai tukar rupiah dolar amerika serikat 1 2 2025 sentuh angka rp 8 170 65 masyarakat heboh kurs usd angka rp16 000,https://x.com/undefined/status/1885665850805621073,https://pbs.twimg.com/media/Gis7F-8a8AA691m.jpg,234628519,1885665850805621073,2025-02-01 12:25:47,01/01/2011,2112,jisatu01,0,0,0,1,0,2,43200,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\6416.jpg
7020,Ayo Ikut Blog Competition &amp; Menangkan Total Hadiah 23 Juta Rupiah! ️ Ingin berbagi cerita ide atau opini tentang Badan Bank Tanah sebagai instrumen dalam mewujudkan kesejahteraan rakyat? Inilah Saatnya. Info selengkapnya hanya di https://t.co/yk3JD0ZdXM https://t.co/U51KtHYkhH,ayo blog competition amp menang total hadiah 23 juta rupiah bagi cerita ide opini badan bank tanah instrumen wujud sejahtera rakyat informasi lengkap,https://x.com/undefined/status/1877216816881172655,https://pbs.twimg.com/media/Gg02vY1aUAAepDb.jpg,23786106,1877216816881172655,2025-01-09 04:52:20,03/01/2009,2400,kompasiana,1,0,0,0,0,0,975600,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\7020.jpg
3127,Ada menteri sudah menyebut fluktuasi rupiah 20000 masih aman n akan terjadi loh...tren menurun nilai mata uang trs terjadi IHSG juga ambruk Benar benar September dibuka awal kelabu Ekonomi dunia tidak sedang baik saja Persiapkan segalanya Apakah gejala ini aman? https://t.co/RQ4ENrUQXC,menteri sebut fluktuasi rupiah 20000 aman loh trend turun nilai mata uang ihsg ambruk september buka kelabu ekonomi dunia siap gejala aman,https://x.com/undefined/status/1962383677033504968,https://pbs.twimg.com/media/GzvJjOWbIAANcQz.jpg,1603570929635692545,1962383677033504968,2025-09-01 05:15:02,2022-12-01,396,DambaanA,0,0,1,2,5,25,4055,1,1,E:\$7th\TA\Multimodal_Process_Exploration\DATA\image_url\3127.jpg
